date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:28:30	5232/5232	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225ececa4d-247b%22	http://findmatthew.com/robots.txt		(from )
17:28:30	23037/23037	---MCZ	200	added ('OK')	text/html	etag:W/%225e3351db-59fd%22	http://findmatthew.com/	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/SKR/findmatthew.com/index.html	(from )
17:28:31	64666/64666	---MCZ	200	added ('OK')	text/css	etag:W/%225e3351db-fc9a%22	http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/SKR/findmatthew.com/fonts/mdi/css/materialdesignicons.min.css	(from http://findmatthew.com/)
17:28:32	25283/25283	---MCZ	200	added ('OK')	text/css	etag:W/%225e3351db-62c3%22	http://findmatthew.com/style/style.css	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/SKR/findmatthew.com/style/style.css	(from http://findmatthew.com/)
17:28:32	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%225e3351db-47e%22	http://findmatthew.com/favicon.ico	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/SKR/findmatthew.com/favicon.ico	(from http://findmatthew.com/)
17:28:34	5876/5876	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03faa-16f4%22	https://cdnjs.cloudflare.com/ajax/libs/prefixfree/1.0.7/prefixfree.min.js	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/SKR/cdnjs.cloudflare.com/ajax/libs/prefixfree/1.0.7/prefixfree.min.js	(from http://findmatthew.com/)
17:28:34	85589/85589	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.2.0/jquery.min.js	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/SKR/ajax.googleapis.com/ajax/libs/jquery/2.2.0/jquery.min.js	(from http://findmatthew.com/)
17:28:34	29299/29299	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03f24-7273%22	https://cdnjs.cloudflare.com/ajax/libs/mixitup/2.1.11/jquery.mixitup.min.js	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/SKR/cdnjs.cloudflare.com/ajax/libs/mixitup/2.1.11/jquery.mixitup.min.js	(from http://findmatthew.com/)
17:28:35	8833/8833	---M-Z	200	added ('OK')	application/javascript	etag:%225eb0402f-2281%22	https://cdnjs.cloudflare.com/ajax/libs/waypoints/4.0.0/jquery.waypoints.min.js	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/SKR/cdnjs.cloudflare.com/ajax/libs/waypoints/4.0.0/jquery.waypoints.min.js	(from http://findmatthew.com/)
17:28:36	4597/4597	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e3351db-11f5%22	http://findmatthew.com/scripts/index.js	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/SKR/findmatthew.com/scripts/index.js	(from http://findmatthew.com/)
17:28:37	89049/89049	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e3351db-15bd9%22	http://findmatthew.com/scripts/pt.min.js	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/SKR/findmatthew.com/scripts/pt.min.js	(from http://findmatthew.com/)
