date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:57:56	12800/12800	---M--	200	added ('OK')	text/html	date:Fri,%2009%20Oct%202020%2012:27:56%20GMT	https://skr010561.myportfolio.com/	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/Github%20portfolio/skr010561.myportfolio.com/index.html	(from )
17:57:56	78/78	---M--	200	added ('OK')	text/plain	date:Fri,%2009%20Oct%202020%2012:27:57%20GMT	https://skr010561.myportfolio.com/robots.txt		(from )
17:57:57	11553/11553	---M--	200	added ('OK')	text/css	etag:%225f7e3c3a-2d21%22	https://skr010561.myportfolio.com/dist/css/main.css	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/Github%20portfolio/skr010561.myportfolio.com/dist/css/main.css	(from https://skr010561.myportfolio.com/)
17:57:57	75146/75146	---M--	200	added ('OK')	text/css	etag:%2221aa561667096d47bd663902f3d98b8c%22	https://pro2-bar-s3-cdn-cf6.myportfolio.com/ee8523ce136df57c9c8c34cfe9d66946/745d3be3781cc00bd18362d435e72b021599420957.css?h=f30cbd91c7393c4be5d8c3bf1e58ffe3	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/Github%20portfolio/pro2-bar-s3-cdn-cf6.myportfolio.com/ee8523ce136df57c9c8c34cfe9d66946/745d3be3781cc00bd18362d435e72b0215994209576965.css	(from https://skr010561.myportfolio.com/)
17:57:58	12801/12801	---M--	200	added ('OK')	text/html	date:Fri,%2009%20Oct%202020%2012:27:58%20GMT	https://skr010561.myportfolio.com/skr	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/Github%20portfolio/skr010561.myportfolio.com/skr.html	(from https://skr010561.myportfolio.com/)
17:57:59	17253/17253	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2009%20Oct%202020%2012:27:59%20GMT	http://use.typekit.net/ik/eOS_FSFKqb_JMnI80NUrdLYIiYtGg81a_WNlbG_YHv6fen3gfHYEBsJzwD9oFDIDWDbojQ6uF2JDweJaFRwuF2juwD9UFhbUFQsKFcjk5eIoFRFywRMtZQ6-mkG0dW83da4XZcNC-Av0jhNlOfG0SY4zwKuh-AmaOcuoSeNkieZzde8zOcFzdPUlpWgzS1scdhUTdkoRdhXCSY4zwKuh-AmaOcuoSeNkieZzde8zOcFzdPJIZhuD-KG4fFMuIMMjgKMfH6qJXbvbMg6YJMJ7fbRE2UMMeM66MTMgDLO9r69.js?cb=c39e815b85178010fb1aa1abdd329ebdfdfd193a	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/Github%20portfolio/use.typekit.net/ik/eOS_FSFKqb_JMnI80NUrdLYIiYtGg81a_WNlbG_YHv6fen3gfHYEBsJzwD9oFDIDWDbojQ6uF2JDweJaFRwuF2juwD9UFhbUFQsKFcjk5eIoFRFywRMtZQ6-mkG0dW83da4XZcNC-Av0jhNlOfG0SY4	(from https://skr010561.myportfolio.com/)
17:57:59	27279/27279	---M--	200	added ('OK')	text/html	date:Fri,%2009%20Oct%202020%2012:27:59%20GMT	https://skr010561.myportfolio.com/home	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/Github%20portfolio/skr010561.myportfolio.com/home.html	(from https://skr010561.myportfolio.com/)
17:58:00	141/141	---M--	200	added ('OK')	application/javascript	date:Fri,%2009%20Oct%202020%2012:28:00%20GMT	https://skr010561.myportfolio.com/site/translations?cb=c39e815b85178010fb1aa1abdd329ebdfdfd193a	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/Github%20portfolio/skr010561.myportfolio.com/site/translations9d91	(from https://skr010561.myportfolio.com/)
17:58:01	351175/351175	---M--	200	added ('OK')	application/javascript	etag:%225f7e3c3a-55bc7%22	https://skr010561.myportfolio.com/dist/js/main.js?cb=c39e815b85178010fb1aa1abdd329ebdfdfd193a	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/Github%20portfolio/skr010561.myportfolio.com/dist/js/main9d91.js	(from https://skr010561.myportfolio.com/)
17:58:02	1914663/1914663	---M--	200	added ('OK')	image/jpeg	etag:%228e69a8d08bd5cd58be6e9a85a7738e9e%22	https://pro2-bar-s3-cdn-cf5.myportfolio.com/ee8523ce136df57c9c8c34cfe9d66946/60aff43e-2d27-4a8c-91cf-83f85e4dee29_rwc_0x0x5616x3744x4096.jpg?h=f009508ca77f2a1aea90640c14a40ccf	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/Github%20portfolio/pro2-bar-s3-cdn-cf5.myportfolio.com/ee8523ce136df57c9c8c34cfe9d66946/60aff43e-2d27-4a8c-91cf-83f85e4dee29_rwc_0x0x5616x3744x40969c72.jpg	(from https://pro2-bar-s3-cdn-cf6.myportfolio.com/ee8523ce136df57c9c8c34cfe9d66946/745d3be3781cc00bd18362d435e72b021599420957.css?h=f30cbd91c7393c4be5d8c3bf1e58ffe3)
17:58:03	76662/76662	---M--	200	added ('OK')	text/css	etag:%22b439d99aaed7cb1611f33b5ecd1e7a2a%22	https://pro2-bar-s3-cdn-cf2.myportfolio.com/ee8523ce136df57c9c8c34cfe9d66946/39912428216de37dfbc498345135c0271599420957.css?h=0cfc79d883f7f52cd58c0ec8e16dadd5	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/Github%20portfolio/pro2-bar-s3-cdn-cf2.myportfolio.com/ee8523ce136df57c9c8c34cfe9d66946/39912428216de37dfbc498345135c0271599420957b556.css	(from https://skr010561.myportfolio.com/home)
17:58:03	23859/23859	---M--	200	added ('OK')	text/html	date:Fri,%2009%20Oct%202020%2012:28:04%20GMT	https://skr010561.myportfolio.com/projects	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/Github%20portfolio/skr010561.myportfolio.com/projects.html	(from https://skr010561.myportfolio.com/home)
17:58:05	74073/74073	---M--	200	added ('OK')	text/css	etag:%2231627aabcb84f9c073aaa21a9f360197%22	https://pro2-bar-s3-cdn-cf2.myportfolio.com/ee8523ce136df57c9c8c34cfe9d66946/309d8a299cf87ad2873f2e9d70c83e9a1599420957.css?h=8ba4723ebe3cf90b9c09c9e1f4e0113f	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/Github%20portfolio/pro2-bar-s3-cdn-cf2.myportfolio.com/ee8523ce136df57c9c8c34cfe9d66946/309d8a299cf87ad2873f2e9d70c83e9a15994209578b6d.css	(from https://skr010561.myportfolio.com/projects)
17:58:05	19231/19231	---M--	200	added ('OK')	text/html	date:Fri,%2009%20Oct%202020%2012:28:06%20GMT	https://skr010561.myportfolio.com/myself	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/Github%20portfolio/skr010561.myportfolio.com/myself.html	(from https://skr010561.myportfolio.com/projects)
17:58:06	177259/177259	---M--	200	added ('OK')	image/png	etag:%22c3aaeef65e7998effdcf1ccc75fcbc74%22	https://pro2-bar-s3-cdn-cf6.myportfolio.com/ee8523ce136df57c9c8c34cfe9d66946/aa366d68-f46b-4bb8-bc5f-0f1168e7a473.png?h=d3b85ed29145fe90279a9d6df6ce7b5d	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/Github%20portfolio/pro2-bar-s3-cdn-cf6.myportfolio.com/ee8523ce136df57c9c8c34cfe9d66946/aa366d68-f46b-4bb8-bc5f-0f1168e7a473df1c.png	(from https://skr010561.myportfolio.com/projects)
17:58:08	159730/159730	---M--	200	added ('OK')	image/png	etag:%220d4837d173167685c7358a7d7f724664%22	https://pro2-bar-s3-cdn-cf6.myportfolio.com/ee8523ce136df57c9c8c34cfe9d66946/aa366d68-f46b-4bb8-bc5f-0f1168e7a473_rw_1920.png?h=25d13ba2cc7c8623aa9ac14c319255f1	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/Github%20portfolio/pro2-bar-s3-cdn-cf6.myportfolio.com/ee8523ce136df57c9c8c34cfe9d66946/aa366d68-f46b-4bb8-bc5f-0f1168e7a473_rw_19203e96.png	(from https://skr010561.myportfolio.com/projects)
17:58:10	829335/829335	---M--	200	added ('OK')	image/png	etag:%2262b6c6e2070290acd143496e64df9ed4%22	https://pro2-bar-s3-cdn-cf3.myportfolio.com/ee8523ce136df57c9c8c34cfe9d66946/e1d83da8-1426-463c-9f94-51061105fd53.png?h=54fbaf89aa2b7f0a3c0167e8efa6d2f7	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/Github%20portfolio/pro2-bar-s3-cdn-cf3.myportfolio.com/ee8523ce136df57c9c8c34cfe9d66946/e1d83da8-1426-463c-9f94-51061105fd53b539.png	(from https://skr010561.myportfolio.com/projects)
17:58:11	755165/755165	---M--	200	added ('OK')	image/png	etag:%224a632a7cbae92eab17bdb0e9655d773c%22	https://pro2-bar-s3-cdn-cf3.myportfolio.com/ee8523ce136df57c9c8c34cfe9d66946/e1d83da8-1426-463c-9f94-51061105fd53_rw_1920.png?h=0bd326ad4af932d95404a13f2d64e433	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/Github%20portfolio/pro2-bar-s3-cdn-cf3.myportfolio.com/ee8523ce136df57c9c8c34cfe9d66946/e1d83da8-1426-463c-9f94-51061105fd53_rw_1920d828.png	(from https://skr010561.myportfolio.com/projects)
17:58:13	714131/714131	---M--	200	added ('OK')	image/png	etag:%22fe561427e47176514bebc370f6411764%22	https://pro2-bar-s3-cdn-cf6.myportfolio.com/ee8523ce136df57c9c8c34cfe9d66946/0c426f5a-2ffe-401b-a344-a508c3fef167.png?h=96c6c3b7f34726b38d6b7483ea51a7c8	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/Github%20portfolio/pro2-bar-s3-cdn-cf6.myportfolio.com/ee8523ce136df57c9c8c34cfe9d66946/0c426f5a-2ffe-401b-a344-a508c3fef1678c1c.png	(from https://skr010561.myportfolio.com/projects)
17:58:15	622122/622122	---M--	200	added ('OK')	image/png	etag:%227441cbf1196ac74c3651dc0aac383fad%22	https://pro2-bar-s3-cdn-cf6.myportfolio.com/ee8523ce136df57c9c8c34cfe9d66946/0c426f5a-2ffe-401b-a344-a508c3fef167_rw_1920.png?h=8d7b8d082f9dbf0ce5686f50a70abd07	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/Github%20portfolio/pro2-bar-s3-cdn-cf6.myportfolio.com/ee8523ce136df57c9c8c34cfe9d66946/0c426f5a-2ffe-401b-a344-a508c3fef167_rw_1920a3ff.png	(from https://skr010561.myportfolio.com/projects)
17:58:15	230024/230024	---M--	200	added ('OK')	image/png	etag:%22d4338715c38df5a121221cefe3e54b90%22	https://pro2-bar-s3-cdn-cf5.myportfolio.com/ee8523ce136df57c9c8c34cfe9d66946/648cbb21-ab5e-45d4-83ed-5b0403aff0f8.png?h=2e3bd6645916a09ca9219d1e7157f6f9	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/Github%20portfolio/pro2-bar-s3-cdn-cf5.myportfolio.com/ee8523ce136df57c9c8c34cfe9d66946/648cbb21-ab5e-45d4-83ed-5b0403aff0f863ab.png	(from https://skr010561.myportfolio.com/projects)
